indicator_code,filename,mode,sample_index,rows,cols,window_cells,elapsed_ns
NDVI,NDVI.tif,data_plus_mask,3,1024,1024,1048576,40646397
NDVI,NDVI.tif,open_only,3,1024,1024,1048576,3478089
NDVI,NDVI.tif,masked_read_new_handle,3,1024,1024,1048576,25820639
NDVI,NDVI.tif,masked_reread_same_handle,3,1024,1024,1048576,3126604
NDVI,NDVI.tif,mask_read,4,1024,1024,1048576,26084778
NDVI,NDVI.tif,data_plus_mask,4,1024,1024,1048576,40615469
NDVI,NDVI.tif,open_only,4,1024,1024,1048576,3035557
NDVI,NDVI.tif,masked_read_new_handle,4,1024,1024,1048576,30167484
NDVI,NDVI.tif,masked_reread_same_handle,4,1024,1024,1048576,2855413
NDVI,NDVI.tif,data_read,4,1024,1024,1048576,115936692
hwmd,hwmd.tif,open_only,0,1024,1024,1048576,1844695
hwmd,hwmd.tif,masked_read_new_handle,0,1024,1024,1048576,16966065
hwmd,hwmd.tif,masked_reread_same_handle,0,1024,1024,1048576,2766019
hwmd,hwmd.tif,data_read,0,1024,1024,1048576,14218369
hwmd,hwmd.tif,mask_read,0,1024,1024,1048576,28971145
hwmd,hwmd.tif,data_plus_mask,0,1024,1024,1048576,23878142
hwmd,hwmd.tif,masked_read_new_handle,1,1024,1024,1048576,24517369
hwmd,hwmd.tif,masked_reread_same_handle,1,1024,1024,1048576,3097372
hwmd,hwmd.tif,data_read,1,1024,1024,1048576,15045311
hwmd,hwmd.tif,mask_read,1,1024,1024,1048576,23873974
hwmd,hwmd.tif,data_plus_mask,1,1024,1024,1048576,15976143
hwmd,hwmd.tif,open_only,1,1024,1024,1048576,2137789
hwmd,hwmd.tif,masked_reread_same_handle,2,1024,1024,1048576,3526482
hwmd,hwmd.tif,data_read,2,1024,1024,1048576,15506462
hwmd,hwmd.tif,mask_read,2,1024,1024,1048576,15399308
hwmd,hwmd.tif,data_plus_mask,2,1024,1024,1048576,76576098
hwmd,hwmd.tif,open_only,2,1024,1024,1048576,13874076
hwmd,hwmd.tif,masked_read_new_handle,2,1024,1024,1048576,88755754
hwmd,hwmd.tif,data_read,3,1024,1024,1048576,33494710
hwmd,hwmd.tif,mask_read,3,1024,1024,1048576,60177522
hwmd,hwmd.tif,data_plus_mask,3,1024,1024,1048576,118270692
hwmd,hwmd.tif,open_only,3,1024,1024,1048576,8282942
hwmd,hwmd.tif,masked_read_new_handle,3,1024,1024,1048576,71449922
hwmd,hwmd.tif,masked_reread_same_handle,3,1024,1024,1048576,3503762
hwmd,hwmd.tif,mask_read,4,1024,1024,1048576,67665388
hwmd,hwmd.tif,data_plus_mask,4,1024,1024,1048576,132481409
hwmd,hwmd.tif,open_only,4,1024,1024,1048576,11440595
hwmd,hwmd.tif,masked_read_new_handle,4,1024,1024,1048576,134733327
hwmd,hwmd.tif,masked_reread_same_handle,4,1024,1024,1048576,6124578
hwmd,hwmd.tif,data_read,4,1024,1024,1048576,146017067
rkmd,rkmd.tif,open_only,0,1024,1024,1048576,12022731
rkmd,rkmd.tif,masked_read_new_handle,0,1024,1024,1048576,248781586
rkmd,rkmd.tif,masked_reread_same_handle,0,1024,1024,1048576,4723387
rkmd,rkmd.tif,data_read,0,1024,1024,1048576,199576050
rkmd,rkmd.tif,mask_read,0,1024,1024,1048576,108571894
rkmd,rkmd.tif,data_plus_mask,0,1024,1024,1048576,78851214
rkmd,rkmd.tif,masked_read_new_handle,1,1024,1024,1048576,57178961
rkmd,rkmd.tif,masked_reread_same_handle,1,1024,1024,1048576,3710458
rkmd,rkmd.tif,data_read,1,1024,1024,1048576,52806896
rkmd,rkmd.tif,mask_read,1,1024,1024,1048576,195771391
rkmd,rkmd.tif,data_plus_mask,1,1024,1024,1048576,283912704
rkmd,rkmd.tif,open_only,1,1024,1024,1048576,8028660
rkmd,rkmd.tif,masked_reread_same_handle,2,1024,1024,1048576,4085888
rkmd,rkmd.tif,data_read,2,1024,1024,1048576,222466436
rkmd,rkmd.tif,mask_read,2,1024,1024,1048576,209128559
rkmd,rkmd.tif,data_plus_mask,2,1024,1024,1048576,258952548
rkmd,rkmd.tif,open_only,2,1024,1024,1048576,12995099
rkmd,rkmd.tif,masked_read_new_handle,2,1024,1024,1048576,165147773
rkmd,rkmd.tif,data_read,3,1024,1024,1048576,163386790
rkmd,rkmd.tif,mask_read,3,1024,1024,1048576,114417617
rkmd,rkmd.tif,data_plus_mask,3,1024,1024,1048576,77003424
rkmd,rkmd.tif,open_only,3,1024,1024,1048576,10815761
rkmd,rkmd.tif,masked_read_new_handle,3,1024,1024,1048576,64928161
