relationship,column_shift,mode,sample_index,order_index,sequence_elapsed_ns,indicator_code,filename,rows,cols,window_cells,valid_cells,elapsed_ns
same_window,0,reopen_between_requests,2,0,1251801952,NDVI,NDVI.tif,1024,1024,1048576,736505,111200932
same_window,0,reopen_between_requests,2,0,1251801952,hwmd,hwmd.tif,1024,1024,1048576,741486,118565106
same_window,0,reopen_between_requests,2,0,1251801952,rkmd,rkmd.tif,1024,1024,1048576,727265,212557865
same_window,0,reopen_between_requests,2,0,1251801952,xxmd,xxmd.tif,1024,1024,1048576,741486,83497310
same_window,0,reopen_between_requests,2,0,1251801952,jmdmd,jmdmd.tif,1024,1024,1048576,741486,62561141
same_window,0,reopen_between_requests,2,0,1251801952,xspb,xspb.tif,1024,1024,1048576,741923,64189066
same_window,0,reopen_between_requests,2,0,1251801952,xsqs,xsqs.tif,1024,1024,1048576,741923,55068628
same_window,0,reopen_between_requests,2,0,1251801952,gyfb,gyfb.tif,1024,1024,1048576,741859,192684789
same_window,0,reopen_between_requests,2,0,1251801952,fmyl,fmyl.tif,1024,1024,1048576,741923,25104001
same_window,0,reopen_between_requests,2,0,1251801952,fmts,fmts.tif,1024,1024,1048576,741923,24686604
same_window,0,reuse_same_process_handles,2,1,37085647,PM25,PM25.tif,1024,1024,1048576,744513,5016838
same_window,0,reuse_same_process_handles,2,1,37085647,AQI,AQI.tif,1024,1024,1048576,745246,4603969
same_window,0,reuse_same_process_handles,2,1,37085647,NDVI,NDVI.tif,1024,1024,1048576,736505,5776181
same_window,0,reuse_same_process_handles,2,1,37085647,hwmd,hwmd.tif,1024,1024,1048576,741486,2641270
same_window,0,reuse_same_process_handles,2,1,37085647,rkmd,rkmd.tif,1024,1024,1048576,727265,2107140
same_window,0,reuse_same_process_handles,2,1,37085647,xxmd,xxmd.tif,1024,1024,1048576,741486,2942088
same_window,0,reuse_same_process_handles,2,1,37085647,jmdmd,jmdmd.tif,1024,1024,1048576,741486,2139857
same_window,0,reuse_same_process_handles,2,1,37085647,xspb,xspb.tif,1024,1024,1048576,741923,2210944
same_window,0,reuse_same_process_handles,2,1,37085647,xsqs,xsqs.tif,1024,1024,1048576,741923,1989351
same_window,0,reuse_same_process_handles,2,1,37085647,gyfb,gyfb.tif,1024,1024,1048576,741859,2032894
same_window,0,reuse_same_process_handles,2,1,37085647,fmyl,fmyl.tif,1024,1024,1048576,741923,2923879
