family,aoi,indicator_count,indicator_codes,sample_index,rows,cols,window_cells,valid_cells,pipeline_elapsed_ms,validation_elapsed_ms,validation_timing,validation_included_in_total_service,total_service_elapsed_ms,spatial_elapsed_ms,feature_count,response_bytes,transport
compute,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",2,128,128,16384,16139,310.231511,23.284195,standalone_post_execute_warm_cache,False,313.781693,,,,
compute,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",3,128,128,16384,16139,378.635906,18.941229,standalone_post_execute_warm_cache,False,380.541407,,,,
compute,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",4,128,128,16384,16139,60.418969,19.679648,standalone_post_execute_warm_cache,False,62.247095,,,,
compute,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",0,384,384,147456,140149,315.101437,157.935396,standalone_post_execute_warm_cache,False,317.389563,,,,
compute,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",1,384,384,147456,140149,448.466005,165.826938,standalone_post_execute_warm_cache,False,455.131465,,,,
compute,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",2,384,384,147456,140149,254.746766,169.412724,standalone_post_execute_warm_cache,False,257.691263,,,,
compute,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",3,384,384,147456,140149,255.069103,201.052852,standalone_post_execute_warm_cache,False,257.530002,,,,
compute,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",4,384,384,147456,140149,724.889817,229.824121,standalone_post_execute_warm_cache,False,731.36425,,,,
compute,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",0,1024,1024,1048576,723902,1603.37695,973.796749,standalone_post_execute_warm_cache,False,1611.233632,,,,
compute,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",1,1024,1024,1048576,723902,1774.873722,990.691464,standalone_post_execute_warm_cache,False,1780.572458,,,,
compute,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",2,1024,1024,1048576,723902,1633.393761,993.342021,standalone_post_execute_warm_cache,False,1639.475728,,,,
compute,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",3,1024,1024,1048576,723902,1282.650311,948.129684,standalone_post_execute_warm_cache,False,1288.263941,,,,
compute,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",4,1024,1024,1048576,723902,1434.280288,956.723544,standalone_post_execute_warm_cache,False,1444.186017,,,,
spatial,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",0,32,32,1024,1006,,,,,,71.7996,1006,302601,flask_test_client_no_network
spatial,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",1,32,32,1024,1006,,,,,,23.396669,1006,302601,flask_test_client_no_network
spatial,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",2,32,32,1024,1006,,,,,,23.756436,1006,302601,flask_test_client_no_network
spatial,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",3,32,32,1024,1006,,,,,,23.618288,1006,302601,flask_test_client_no_network
spatial,small,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",4,32,32,1024,1006,,,,,,23.852887,1006,302601,flask_test_client_no_network
spatial,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",0,64,64,4096,4057,,,,,,129.96944,4057,1238623,flask_test_client_no_network
spatial,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",1,64,64,4096,4057,,,,,,94.695154,4057,1238623,flask_test_client_no_network
spatial,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",2,64,64,4096,4057,,,,,,134.810206,4057,1238623,flask_test_client_no_network
spatial,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",3,64,64,4096,4057,,,,,,93.489879,4057,1238623,flask_test_client_no_network
spatial,medium,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",4,64,64,4096,4057,,,,,,137.497618,4057,1238623,flask_test_client_no_network
spatial,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",0,128,128,16384,16139,,,,,,456.111495,16139,4966037,flask_test_client_no_network
spatial,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",1,128,128,16384,16139,,,,,,517.372844,16139,4966037,flask_test_client_no_network
spatial,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",2,128,128,16384,16139,,,,,,510.242938,16139,4966037,flask_test_client_no_network
spatial,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",3,128,128,16384,16139,,,,,,463.01892,16139,4966037,flask_test_client_no_network
spatial,large,12,"PM25,AQI,NDVI,hwmd,rkmd,xxmd,jmdmd,xspb,xsqs,gyfb,fmyl,fmts",4,128,128,16384,16139,,,,,,511.766756,16139,4966037,flask_test_client_no_network
